Time,Open,High,Low,Last,Change,Volume
1/4/2008,27.555,28.295,27.5,27.895,0.16,11805000
1/3/2008,27.94,28.055,27.705,27.735,-0.17,10462000
1/2/2008,28.075,28.32,27.755,27.905,-0.17,10763000
12/31/2007,28.47,28.55,28.005,28.075,-0.54,10013200
12/28/2007,28.54,28.715,28.3,28.615,0.125,7293000
12/27/2007,28.835,28.96,28.465,28.49,-0.45,7449600
12/26/2007,29.075,29.31,28.76,28.94,-0.235,6981600
12/24/2007,29.07,29.28,29.025,29.175,0.045,2658000
12/21/2007,29.32,29.435,28.505,29.13,0.33,18667000
12/20/2007,28.765,28.875,28.555,28.8,0.185,7852000
12/19/2007,28.79,29,28.48,28.615,-0.23,7230000
12/18/2007,28.53,28.985,28.35,28.845,0.46,11814600
12/17/2007,28.725,28.97,28.28,28.385,-0.37,9949400
12/14/2007,29.005,29.235,28.74,28.755,-0.435,9131600
12/13/2007,28.935,29.24,28.75,29.19,0.135,7986600
12/12/2007,29.25,29.74,28.75,29.055,0.01,19061600
12/11/2007,29.435,29.545,28.96,29.045,-0.405,12950600
12/10/2007,29.135,29.575,29.075,29.45,0.34,10928600
12/7/2007,29.07,29.25,28.96,29.11,0.035,7840600
12/6/2007,29.07,29.15,28.765,29.075,-0.005,9359600
12/5/2007,28.975,29.08,28.74,29.08,0.33,10266200
12/4/2007,28.28,28.855,28.28,28.75,0.245,12371000
12/3/2007,28.675,28.73,28.285,28.505,-0.25,12464200
11/30/2007,29.005,29.085,28.525,28.755,0.255,24191200
11/29/2007,28.23,28.735,27.875,28.5,0.29,15528200
11/28/2007,28.035,28.25,27.615,28.21,0.255,13033400
11/27/2007,27.2,28,27.125,27.955,0.83,15823400
11/26/2007,27.69,27.765,27.055,27.125,-0.62,8730200
11/23/2007,27.6,27.75,27.365,27.745,0.38,4151800
11/21/2007,27.505,27.745,27.28,27.365,-0.425,11205400
11/20/2007,27.51,27.9,27.4,27.79,0.38,13148400
11/19/2007,27.43,27.625,27.325,27.41,-0.195,9854400
11/16/2007,27.41,27.61,27.23,27.605,0.365,12937600
11/15/2007,27.1,27.475,27.1,27.24,0.085,11493600
11/14/2007,27.735,27.735,27.11,27.155,-0.4,11445400
11/13/2007,27.51,27.605,26.82,27.555,0.22,12769800
11/12/2007,27.06,27.735,27.06,27.335,0.275,11561200
11/9/2007,26.66,27.38,26.66,27.06,0.1,12676200
11/8/2007,26.845,27.04,26.475,26.96,0.085,13714200
11/7/2007,26.81,27.39,26.81,26.875,-0.295,10897800
11/6/2007,27.03,27.25,26.97,27.17,0.16,7056600
11/5/2007,27.175,27.25,26.8,27.01,-0.015,9319800
11/2/2007,27.83,27.85,26.8,27.025,-0.035,10605000
11/1/2007,27.28,27.535,26.985,27.06,-0.25,11456400
10/31/2007,27.325,27.37,26.97,27.31,-0.015,12611000
10/30/2007,27.125,27.365,27.065,27.325,0.1,12626800
10/29/2007,27.065,27.285,27.065,27.225,0.19,7824800
10/26/2007,27.135,27.175,26.945,27.035,0.1,11368400
10/25/2007,26.435,27.035,26.33,26.935,0.505,15928400
10/24/2007,26.005,26.475,25.68,26.43,0.52,16529000
10/23/2007,25.385,26.175,25.385,25.91,0.09,8383000
10/22/2007,25.45,25.91,25.255,25.82,0.12,15130400
10/19/2007,25.77,26.14,25.67,25.7,-0.135,15431800
10/18/2007,25.65,26.015,25.595,25.835,0.235,11793200
10/17/2007,26.05,26.54,25.51,25.6,-0.385,27491200
10/16/2007,26.055,26.14,25.815,25.985,0.025,17416600
10/15/2007,26.355,26.385,25.68,25.96,-0.36,15585400
10/12/2007,26.645,26.675,26.19,26.32,-0.36,16219400
10/11/2007,26.65,26.81,26.22,26.68,-0.44,22632200
10/10/2007,27.575,27.71,26.955,27.12,-0.31,14249400
10/9/2007,27.51,27.745,27.275,27.43,-0.04,8942400
10/8/2007,27.54,27.675,27.36,27.47,-0.03,5282800
10/5/2007,27.95,27.99,27.42,27.5,-0.27,13418600
10/4/2007,27.87,28.33,27.69,27.77,0.005,5395800
10/3/2007,27.515,27.93,27.455,27.765,0.035,9314400
10/2/2007,27.55,27.905,27.525,27.73,0.125,10885200
10/1/2007,26.78,27.645,26.78,27.605,0.795,13105600
9/28/2007,26.955,27.075,26.705,26.81,-0.215,8227200
9/27/2007,27.15,27.24,26.95,27.025,0.025,7056600
9/26/2007,27.125,27.335,26.77,27,-0.175,14438400
9/25/2007,26.875,27.34,26.82,27.175,0.245,8122600
9/24/2007,27.105,27.165,26.86,26.93,-0.29,12236000
9/21/2007,27.14,27.36,26.845,27.22,0.375,14524600
9/20/2007,26.89,27.215,26.805,26.845,-0.13,11861800
9/19/2007,26.9,27.1,26.685,26.975,0.175,12193000
9/18/2007,26.165,26.865,26.07,26.8,0.805,17387600
9/17/2007,25.955,26.14,25.755,25.995,-0.055,8065800
9/14/2007,25.97,26.14,25.895,26.05,-0.03,8114800
9/13/2007,26.35,26.495,25.99,26.08,-0.045,10467200
9/12/2007,25.96,26.275,25.905,26.125,0.145,8574200
9/11/2007,25.95,26.055,25.635,25.98,0.14,12801600
9/10/2007,25.995,26.24,25.78,25.84,-0.09,7012400
9/7/2007,26.07,26.34,25.745,25.93,-0.52,10133600
9/6/2007,25.975,26.525,25.85,26.45,0.59,11024800
9/5/2007,25.625,25.925,25.575,25.86,0.07,8467000
9/4/2007,25.91,25.94,25.59,25.79,-0.165,9731600
8/31/2007,25.75,26.055,25.56,25.955,0.255,9904000
8/30/2007,25.79,25.86,25.515,25.7,-0.045,9597200
8/29/2007,25.425,25.78,25.17,25.745,0.35,12110600
8/28/2007,25.895,25.95,25.35,25.395,-0.61,11380400
8/27/2007,26.16,26.19,25.95,26.005,-0.26,7075800
8/24/2007,26.005,26.34,25.89,26.265,0.185,8453600
8/23/2007,26.26,26.29,25.91,26.08,0.01,8841400
8/22/2007,26.245,26.47,25.86,26.07,-0.11,10760600
8/21/2007,25.95,26.335,25.82,26.18,-0.015,7504000
8/20/2007,26.33,26.605,26.01,26.195,-0.17,8311400
8/17/2007,26.595,26.875,25.875,26.365,0.435,15846000
8/16/2007,26.125,26.21,25.39,25.93,-0.245,16680800
8/15/2007,26.185,26.815,26,26.175,-0.06,10889800
8/14/2007,27.075,27.12,26.135,26.235,-0.71,13265400
8/13/2007,27.605,27.605,26.715,26.945,-0.665,16138600
8/10/2007,27.44,27.75,26.365,27.61,0.145,15329200
8/9/2007,28.455,28.455,27.415,27.465,-0.685,18961800
8/8/2007,28,28.15,27.175,28.15,1,20769200
8/7/2007,27.33,27.545,26.25,27.15,0.59,24183400
8/6/2007,26.06,26.69,25.62,26.56,1.015,18025000
8/3/2007,25.575,26.065,25.5,25.545,-0.06,16999400
8/2/2007,25.59,25.775,25.415,25.605,0.13,13123800
8/1/2007,25.235,25.685,25.04,25.475,0.13,16083000
7/31/2007,25.65,25.745,25.215,25.345,-0.065,15280400
7/30/2007,25.58,25.725,24.79,25.41,0.395,14756000
7/27/2007,25.55,25.67,25,25.015,-0.53,17987400
7/26/2007,25.94,26,25.345,25.545,-0.605,18048600
7/25/2007,26.38,26.45,25.845,26.15,-0.105,15787600
7/24/2007,26.6,27.1,26.1,26.255,-0.705,17621000
7/23/2007,26.675,27.45,26.615,26.96,0.525,12579200
7/20/2007,27.15,27.235,26.35,26.435,-0.725,15080600
7/19/2007,27.315,27.34,26.79,27.16,0.31,12570400
7/18/2007,27,27.485,26.78,26.85,0.155,20809200
7/17/2007,26.75,26.835,26.575,26.695,-0.085,11762000
7/16/2007,26.625,26.855,26.575,26.78,0.16,10801800
7/13/2007,26.775,26.875,26.61,26.62,-0.26,9655800
7/12/2007,25.95,26.94,25.95,26.88,0.275,26967000
7/11/2007,26.435,26.655,26.265,26.605,0.145,15836400
7/10/2007,26.69,26.995,26.395,26.46,-0.395,12912600
7/9/2007,27,27.085,26.83,26.855,-0.145,5859800
7/6/2007,27.165,27.215,26.94,27,-0.115,7201000
7/5/2007,27.22,27.34,26.875,27.115,-0.045,6643400
7/3/2007,27.175,27.245,27.06,27.16,0,3865000
7/2/2007,26.995,27.185,26.915,27.16,0.385,10564400
6/29/2007,26.845,27.56,26.625,26.775,-0.085,10889200
6/28/2007,26.985,27,26.765,26.86,-0.125,9246000
6/27/2007,26.84,27.02,26.7,26.985,0,11267400
6/26/2007,27.75,27.75,26.915,26.985,-0.04,15789800
6/25/2007,26.615,27.445,26.495,27.025,0.595,19021400
6/22/2007,26.845,27.005,26.4,26.43,-0.47,16615800
6/21/2007,27.09,27.135,26.69,26.9,-0.24,10110200
6/20/2007,27.465,27.61,27.125,27.14,-0.2,15635800
6/19/2007,27.18,27.4,27.115,27.34,0.07,9703200
6/18/2007,27.36,27.41,27.095,27.27,-0.09,9523000
6/15/2007,27.235,27.525,27.125,27.36,0.265,12662600
6/14/2007,27.1,27.275,27.01,27.095,0,8316600
6/13/2007,26.875,27.14,26.6,27.095,0.425,10739200
6/12/2007,26.84,26.96,26.635,26.67,-0.36,12796000
6/11/2007,27.055,27.255,26.97,27.03,-0.115,7300000
6/8/2007,27,27.175,26.815,27.145,0.155,11795400
6/7/2007,27.275,27.45,26.92,26.99,-0.38,13170400
6/6/2007,27.565,27.595,27.24,27.37,-0.375,14811600
6/5/2007,27.895,27.895,27.465,27.745,-0.065,13268800
6/4/2007,27.76,28.08,27.59,27.81,-0.34,14007800
6/1/2007,28.3,28.35,27.96,28.15,-0.025,9938400
5/31/2007,27.93,28.275,27.9,28.175,0.255,13675800
5/30/2007,28.3,28.325,27.76,27.92,-0.405,13810800
5/29/2007,28.085,28.445,28.04,28.325,0.14,11344600
5/25/2007,27.535,28.365,27.535,28.185,-0.045,11473000
5/24/2007,28.57,28.75,28.005,28.23,-0.375,14592600
5/23/2007,28.85,29.03,28.565,28.605,-0.24,10136000
5/22/2007,29.195,29.25,28.795,28.845,-0.47,12008000
5/21/2007,29.625,29.675,29.25,29.315,-0.4,9216000
5/18/2007,29.49,29.75,29.29,29.715,0.265,9258800
5/17/2007,29.5,29.53,29.27,29.45,-0.095,6605600
5/16/2007,29.5,29.665,29.29,29.545,0.205,9085800
5/15/2007,29.18,29.625,29.075,29.34,0.365,12259200
5/14/2007,28.925,29.05,28.725,28.975,0.055,8709800
5/11/2007,28.675,28.93,28.54,28.92,0.255,8308200
5/10/2007,29.34,29.34,28.665,28.665,-0.675,9838200
5/9/2007,29.3,29.52,29.115,29.34,-0.08,8469600
5/8/2007,29.445,29.455,29.13,29.42,-0.055,7118200
5/7/2007,29.405,29.57,29.28,29.475,0.325,11454600
5/4/2007,28.77,29.19,28.685,29.15,0.445,10030400
5/3/2007,28.68,28.75,28.55,28.705,0.11,7208000
5/2/2007,28.535,28.665,28.35,28.595,0.09,8807200
5/1/2007,28.28,28.595,28.215,28.505,0.195,9224200
4/30/2007,28.465,28.465,28.185,28.31,-0.07,10479600
4/27/2007,28.3,28.575,28.06,28.38,-0.075,10772600
4/26/2007,28,28.82,27.835,28.455,-0.325,11110000
4/25/2007,28.625,28.875,28.585,28.78,0.195,7927400
4/24/2007,28.54,28.635,28.275,28.585,-0.02,10926800
4/23/2007,28.75,28.9,28.55,28.605,-0.32,10554000
4/20/2007,28.965,28.995,28.605,28.925,0.305,14972600
4/19/2007,28.895,29.11,28.46,28.62,-0.395,16103400
4/18/2007,28.65,29.3,28.5,29.015,-0.485,24085200
4/17/2007,29.325,29.7,29.325,29.5,0.06,12090400
4/16/2007,29.395,29.525,29.32,29.44,0.195,9654800
4/13/2007,28.72,29.33,28.715,29.245,0.54,14287400
4/12/2007,28.4,28.77,28.385,28.705,0.205,9806400
4/11/2007,28.375,28.755,28.085,28.5,-0.03,13027800
4/10/2007,28.605,28.665,28.45,28.53,-0.075,11101000
4/9/2007,28.525,28.735,28.4,28.605,0.095,12810600
4/5/2007,28.185,28.555,28.15,28.51,0.365,10133400
4/4/2007,28.305,28.48,28.06,28.145,-0.19,9932800
4/3/2007,28.005,28.37,27.99,28.335,0.43,14525400
4/2/2007,27.9,28.125,27.58,27.905,0.005,12539000
3/30/2007,27.75,28.035,27.705,27.9,-0.005,11507600
3/29/2007,27.51,28.075,27.505,27.905,0.025,17200000
3/28/2007,28.12,28.255,27.755,27.88,-0.42,15724600
3/27/2007,28.4,28.615,28.21,28.3,-0.32,28493600
3/26/2007,27.54,28.63,27.525,28.62,1.69,45962000
3/23/2007,27.315,27.33,26.875,26.93,-0.32,13617600
3/22/2007,27.04,27.46,27.005,27.25,-0.09,13715800
3/21/2007,27.15,27.4,27.1,27.34,0.1,15976800
3/20/2007,26.62,27.24,26.515,27.24,0.65,16828200
3/19/2007,26.51,26.64,26.44,26.59,0.15,11810200
3/16/2007,26.72,26.75,26.4,26.44,-0.375,19479200
3/15/2007,26.835,27,26.665,26.815,-0.07,10041200
3/14/2007,27.1,27.135,26.735,26.885,-0.17,15370800
3/13/2007,27,27.355,26.985,27.055,-0.135,16426800
3/12/2007,27.22,27.25,27.12,27.19,-0.005,12787200
3/9/2007,26.975,27.23,26.875,27.195,0.495,21014600
3/8/2007,26.345,26.785,26.19,26.7,0.355,15884800
3/7/2007,26.325,26.495,26.275,26.345,-0.09,16168400
3/6/2007,26.5,26.54,26.185,26.435,0.06,19692200
3/5/2007,26.4,26.795,26.36,26.375,-0.13,14714800
3/2/2007,26.765,26.825,26.29,26.505,-0.385,15498800
3/1/2007,26.875,27.35,26.715,26.89,-0.42,20045800
2/28/2007,26.785,27.53,26.62,27.31,0.39,23762800
2/27/2007,27.04,27.45,26.2,26.92,-0.315,23743600
2/26/2007,26.875,27.33,26.745,27.235,0.44,15365800
2/23/2007,26.66,26.885,26.6,26.795,-0.015,10020000
2/22/2007,26.355,26.845,26.325,26.81,0.455,13807400
2/21/2007,26.25,26.39,26.195,26.355,0.065,8645800
2/20/2007,26.245,26.335,26.14,26.29,0.045,9127200
2/16/2007,26.265,26.4,26.14,26.245,-0.155,8082600
2/15/2007,26.29,26.445,26.04,26.4,0.05,8296600
2/14/2007,26.35,26.59,26.335,26.35,-0.005,10165800
2/13/2007,26.32,26.395,26.26,26.355,-0.005,7766200
2/12/2007,26.17,26.39,26.12,26.36,0.225,8647600
2/9/2007,26.175,26.315,26.07,26.135,0.065,7573200
2/8/2007,26.2,26.275,26.03,26.07,-0.155,9657000
2/7/2007,26.25,26.315,26.085,26.225,-0.005,7042400
2/6/2007,26.35,26.375,26.105,26.23,-0.02,6834200
2/5/2007,26.2,26.325,26.09,26.25,-0.085,6704800
2/2/2007,26.275,26.5,26.22,26.335,-0.1,9271600
2/1/2007,26.25,26.49,26.115,26.435,-0.065,11384600
1/31/2007,26.375,26.62,26.285,26.5,-0.095,11755000
1/30/2007,26.375,26.61,26.36,26.595,0.265,14349600
1/29/2007,25.955,26.375,25.755,26.33,0.055,16965000
1/26/2007,26.35,26.38,25.975,26.275,-0.02,13668400
1/25/2007,26.55,26.75,26.21,26.295,-0.48,17348400
1/24/2007,26.69,26.925,26.44,26.775,0.085,15347400
1/23/2007,26.55,26.775,26.5,26.69,0.03,15559600
1/22/2007,26.6,26.73,26.49,26.66,-0.1,14253600
1/19/2007,26.67,26.875,26.575,26.76,0.365,24323200
1/18/2007,26,26.46,25.98,26.395,0.62,26061000
1/17/2007,25.32,25.8,25.275,25.775,0.47,16165600
1/16/2007,25.255,25.44,25.19,25.305,0.08,11719800
1/12/2007,25.035,25.245,25.005,25.225,0.05,10737400
1/11/2007,25.22,25.49,25.085,25.175,-0.02,12046800
1/10/2007,25.11,25.22,25,25.195,-0.065,13415400
1/9/2007,25.075,25.33,25,25.26,0.22,16284000
